cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Villard blanc,Var blanc,IGP,Blanc,Provence-corse
Cardinal rouge,Ardèche rouge,IGP,Rouge,Rhône
Muscat à petits grains rosé,Alsace grand cru geisberg muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Saint-Véran bellevue,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Crémant de Die,AOC/AOP,Blanc,Rhône
Pinot blanc,Nuits-Saint-Georges premier cru Clos des Grandes Vignes blanc,AOC/AOP,Blanc,Bourgogne
Gewurztraminer rosé,Alsace grand cru gloeckelberg vendanges tardives gewurztraminer,AOC/AOP,Blanc,Alsace
Pinot blanc,Nuits-Saint-Georges premier cru blanc,AOC/AOP,Blanc,Bourgogne
Poulsard noir,Crémant du Jura rosé,AOC/AOP,Rosé,Jura
Cot noir,Comté Tolosan rosé,IGP,Rosé,Armagnac
Pinot noir,Atlantique rosé,IGP,Rosé,Bordeaux
Muscat à petits grains rosé,Alsace grand cru winzenberg vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Vin de Savoie mousseux blanc,AOC/AOP,Blanc,Savoie bugey
Cot noir,Moulis,AOC/AOP,Rouge,Bordeaux
Landal noir,Drôme rouge,IGP,Rouge,Rhône
Portan noir,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru hengst vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Pinot noir,Calvados rouge,IGP,Rouge,Loire
Camaralet blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Sauvignon gris,Cheverny blanc,AOC/AOP,Blanc,Loire
Pinot noir,Nuits-Saint-Georges premier cru Les Cailles rouge,AOC/AOP,Rouge,Bourgogne
Muscat Ottonel blanc,Alsace grand cru kessler muscat,AOC/AOP,Blanc,Alsace
Négrette noir,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru steinklotz vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Pinot noir,Puligny-Montrachet rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Côtes de Duras blanc,AOC/AOP,Blanc,Sud-ouest
Rayon d'or blanc,Coteaux d'Ensérune blanc,IGP,Blanc,Languedoc-roussillon
Cot noir,Agenais rouge,IGP,Rouge,Sud-ouest
Cardinal rouge,Coteaux du Pont du Gard rosé,IGP,Rosé,Languedoc-roussillon
Piquepoul noir,Atlantique rouge,IGP,Rouge,Bordeaux
Muscardin noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Bourboulenc blanc,Vacqueyras blanc,AOC/AOP,Blanc,Rhône
Oberlin noir,Coteaux des Baronnies blanc,IGP,Blanc,Rhône
Pinot blanc,Bourgogne Hautes Côtes de Beaune blanc,AOC/AOP,Blanc,Bourgogne
Bouillet noir,Atlantique rosé,IGP,Rosé,Bordeaux
