cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Syrah noir,Franche-Comté rosé,IGP,Rosé,Jura
Pinot noir,Savigny-lès-Beaune premier cru Les Peuillets rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Ladoix premier cru rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chablis,AOC/AOP,Blanc,Bourgogne
Pinot noir,Santenay premier cru Clos des Mouches rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Cheverny blanc,AOC/AOP,Blanc,Loire
Sauvignon blanc,Côtes de Bordeaux-Saint-Macaire liquoreux,AOC/AOP,Blanc,Bordeaux
Chardonnay blanc,Saint-Véran chasselas,AOC/AOP,Blanc,Bourgogne
Pinot noir,Coteaux du Cher et de l'Arnon rosé,IGP,Rosé,Loire
Gamay noir,Beaujolais Emeringes rosé nouveau,AOC/AOP,Rosé,Beaujolais
Chardonnay blanc,Morey-Saint-Denis premier cru Les Faconnières blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Isère blanc,IGP,Blanc,Savoie bugey
Cabernet-Franc noir,Touraine mousseux rosé,AOC/AOP,Rosé,Loire
Merlot noir,Bordeaux clairet,AOC/AOP,Clairet,Bordeaux
Sauvignon blanc,Pessac-Léognan blanc,AOC/AOP,Blanc,Bordeaux
Pinot noir,Bourgogne Côtes d'Auxerre rosé,AOC/AOP,Rosé,Bourgogne
Merlot noir,Pays d'Oc gris,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Givry premier cru Le Champ Lalot blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Bandol rouge,AOC/AOP,Rouge,Provence-corse
Pinot noir,Givry premier cru Servoisine rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Chambertin,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Cercié rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Mâcon Vergisson blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Mâcon Bray rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Vins de la Corrèze blanc,IGP,Blanc,Sud-ouest
Chardonnay blanc,Coteaux champenois rouge,AOC/AOP,Rouge,Champagne
Grenache noir,Languedoc Saint-Saturnin rouge,AOC/AOP,Rouge,Languedoc-roussillon
Gamay noir,Beaujolais Saint-Lager rouge,AOC/AOP,Rouge,Beaujolais
Gamay noir,Beaujolais Les Ardillats rouge nouveau,AOC/AOP,Rouge,Beaujolais
Gamay noir,Beaujolais Charentay rosé,AOC/AOP,Rosé,Beaujolais
Pinot noir,Franche-Comté rosé,IGP,Rosé,Jura
Cabernet-Sauvignon noir,Saint-Emilion grand cru Premier grand cru classé,AOC/AOP,Rouge,Bordeaux
Pinot noir,Clos Saint-Denis,AOC/AOP,Rouge,Bourgogne
Syrah noir,Atlantique rouge,IGP,Rouge,Bordeaux
Pinot noir,Saint-Aubin premier cru La Chatenière rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Mâcon Bussières blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Buzet rouge,AOC/AOP,Rouge,Sud-ouest
Gamay noir,Beaujolais La Chapelle-de-Guinchay rosé nouveau,AOC/AOP,Rosé,Beaujolais
Gamay noir,Bourgogne mousseux,AOC/AOP,Rouge,Bourgogne
Pinot noir,Chambolle-Musigny premier cru Les Carrières,AOC/AOP,Rouge,Bourgogne
Pinot noir,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Pinot noir,Blagny,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Saint-Aubin premier cru En la Ranché blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Pruzilly rouge nouveau,AOC/AOP,Rouge,Beaujolais
Syrah noir,Saône-et-Loire rouge,IGP,Rouge,Bourgogne
Merlot noir,Puy-de-Dôme rosé,IGP,Rosé,Loire
Gamay noir,Calvados rosé,IGP,Rosé,Loire
Merlot noir,Haute-Vienne rosé,IGP,Rosé,Loire
Cabernet-Franc noir,Périgord rouge,IGP,Rouge,Bordeaux
Chardonnay blanc,Chassagne-Montrachet premier cru Clos Saint-Jean blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Grenache noir,Languedoc Montpeyroux rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Pinot noir,Isère rosé,IGP,Rosé,Savoie bugey
Pinot noir,Yonne rosé,IGP,Rosé,Bourgogne
Grenache noir,Languedoc Saint-Georges-d'Orques rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Chassagne-Montrachet premier cru La Chapelle rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Saint-Lager rosé,AOC/AOP,Rosé,Beaujolais
Syrah noir,Franche-Comté rouge,IGP,Rouge,Jura
Chardonnay blanc,Morey-Saint-Denis premier cru Les Genavrières blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chassagne-Montrachet premier cru Les Grandes Ruchottes rouge,AOC/AOP,Rouge,Bourgogne
Sémillon blanc,Côtes de Bordeaux Cadillac,AOC,Rouge,Bordeaux
Pinot noir,Givry premier cru La Grande Berge rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Saint-Aubin premier cru Pitangeret rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Coteaux de l'Auxois blanc,IGP,Blanc,Bourgogne
Cabernet-Franc noir,Haute Vallée de l'Aude rouge,IGP,Rouge,Languedoc-roussillon
Grenache noir,Sable de Camargue gris de gris nouveau,IGP,Gris,Languedoc-roussillon
Pinot noir,Vosne-Romanée premier cru Aux Brulées,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Lancié rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Mâcon Vinzelles blanc nouveau,AOC/AOP,Blanc,Bourgogne
Grenache noir,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Gamay noir,Côtes du Lot rosé,IGP,Rosé,Sud-ouest
Pinot noir,Nuits-Saint-Georges premier cru Aux Vignerondes rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Savennières Coulée de Serrant moelleux,AOC/AOP,Blanc,Loire
Merlot noir,Sable de Camargue gris nouveau,IGP,Gris,Languedoc-roussillon
Pinot noir,Mercurey premier cru Les Fourneaux rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Blagny premier cru Sous le Puits,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Champagne blanc,AOC/AOP,Blanc,Champagne
Merlot noir,Haute-Vienne rouge,IGP,Rouge,Loire
Chardonnay blanc,Saint-Aubin premier cru Village blanc,AOC/AOP,Blanc,Bourgogne
Carignan noir,Sable de Camargue gris nouveau,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Montagny premier cru La Grande Pièce,AOC/AOP,Blanc,Bourgogne
Sémillon blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Grenache noir,Maury tuilé rancio,AOC/AOP,Rancio,Languedoc-roussillon
Chenin blanc,Fiefs Vendéens Pissotte blanc,AOC/AOP,Blanc,Loire
Gamay noir,Beaujolais Odenas rosé,AOC/AOP,Rosé,Beaujolais
Syrah noir,Ariège rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Givry premier cru Servoisine blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Saône-et-Loire rosé,IGP,Rosé,Bourgogne
Chardonnay blanc,Beaujolais Saint-Etienne-des-Oullières blanc,AOC/AOP,Blanc,Beaujolais
Chardonnay blanc,Champagne premier cru,AOC/AOP,Blanc,Champagne
Sauvignon blanc,Yonne blanc,IGP,Blanc,Bourgogne
Gamay noir,Beaujolais Saint-Didier-sur-Beaujeu rosé nouveau,AOC/AOP,Rosé,Beaujolais
Chardonnay blanc,Montagny premier cru Les Treuffères,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Saint-Véran leynes,AOC/AOP,Blanc,Bourgogne
Syrah noir,Côtes de Provence Fréjus rosé,AOC/AOP,Rosé,Provence-corse
Merlot noir,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Sauvignon blanc,Haute-Vienne blanc,IGP,Blanc,Loire
Gamay noir,Beaujolais Quincié-en-Beaujolais rouge,AOC/AOP,Rouge,Beaujolais
Cabernet-Sauvignon noir,Pomerol,AOC/AOP,Rouge,Bordeaux
Gamay noir,Coteaux du Giennois rouge,AOC/AOP,Rouge,Loire
Pinot noir,Meursault premier cru Clos des Perrières rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chablis premier cru Côte de Cuisy,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Pauillac,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Meursault premier cru Les Santenots Blancs blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Rully premier cru La Bressande rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Morey-Saint-Denis premier cru Les Chenevery blanc,AOC/AOP,Blanc,Bourgogne
Merlot noir,Fronsac,AOC/AOP,Rouge,Bordeaux
Cabernet-Franc noir,Côtes de Gascogne rouge,IGP,Rouge,Sud-ouest
Pinot noir,Rully premier cru Clos du Chaigne rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Alsace rosé Pinot noir,AOC/AOP,Rosé,Alsace
Sauvignon blanc,Saint-Bris,AOC/AOP,Blanc,Bourgogne
Carignan noir,Corbières rouge,AOC/AOP,Rouge,Languedoc-roussillon
Cabernet-Franc noir,Saint-Nicolas-de-Bourgueil rouge,AOC/AOP,Rouge,Loire
Chardonnay blanc,Saint-Aubin premier cru Es Champs blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Cadillac,AOC/AOP,Blanc,Bordeaux
Gamay noir,Fleurie,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Chassagne-Montrachet premier cru Les Boirettes blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Cercié rosé,AOC/AOP,Rosé,Beaujolais
Pinot noir,Puligny-Montrachet premier cru Champ Canet rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon Azé rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Pernand-Vergelesses premier cru Creux de la Net blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Coteaux du Lyonnais rosé,AOC/AOP,Rosé,Rhône
Gamay noir,Pays d'Oc gris mousseux,IGP,Gris,Languedoc-roussillon
Grenache noir,Saint-Chinian Roquebrun,AOC/AOP,Rouge,Languedoc-roussillon
Colombard blanc,Coteaux de Peyriac blanc,IGP,Blanc,Languedoc-roussillon
Grenache noir,Côtes du Rhône Villages Roaix rosé,AOC/AOP,Rosé,Rhône
Pinot noir,Pommard premier cru Les Grands Epenots,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon Mancey rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Sainte-Marie-la-Blanche rouge,IGP,Rouge,Bourgogne
Gamay noir,Touraine mousseux rosé,AOC/AOP,Rosé,Loire
Grenache noir,Côtes du Rhône Villages Sablet rouge,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Aveyron blanc,IGP,Blanc,Sud-ouest
Sauvignon blanc,Comté Tolosan blanc,IGP,Blanc,Armagnac
Syrah noir,Côtes du Roussillon Villages Caramany,AOC/AOP,Rouge,Languedoc-roussillon
Cabernet-Franc noir,Val de Loire rosé,IGP,Rosé,Loire
Pinot noir,Rully premier cru Clos St Jacques rouge,AOC/AOP,Rouge,Bourgogne
Merlot noir,Pays d'Oc rouge mousseux,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Montagny premier cru Les Vignes longues,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Saint-Emilion grand cru Premier grand cru classé,AOC/AOP,Rouge,Bordeaux
Pinot noir,Haute-Marne rosé,IGP,Rosé,Champagne
Gamay noir,Beaujolais Le Perréon rouge,AOC/AOP,Rouge,Beaujolais
Gamay noir,Coteaux de Glanes rosé,IGP,Rosé,Sud-ouest
Grenache noir,Vinsobres,AOC,Rouge,Rhône
Chardonnay blanc,Auxey-Duresses premier cru Clos du Val blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Richebourg,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Morgeot blanc,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Vouvray,AOC/AOP,Blanc,Loire
Pinot noir,Chambolle-Musigny premier cru Les Noirots,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Mâcon Davayé blanc nouveau,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bonnes-Mares,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Rully premier cru Clos St Jacques blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Mâcon Charnay-lès-Mâcon rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Mâcon Villages,AOC/AOP,Blanc,Bourgogne
Gamay noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Sauvignon blanc,Monbazillac,AOC/AOP,Blanc,Sud-ouest
Merlot noir,Saint-Emilion grand cru Grand cru classé,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Mâcon Loché blanc nouveau,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Arbois Pupillin vin de paille,AOC/AOP,Blanc,Jura
Merlot noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
