cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Cabernet-Sauvignon noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Cabernet-Franc noir,Brulhois rouge,AOC/AOP,Rouge,Sud-ouest
Grenache noir,Côtes du Rhône Villages Plan de Dieu,AOC/AOP,Rouge,Rhône
Sémillon blanc,Sainte-Foy-Bordeaux blanc moelleux,AOC/AOP,Blanc,Bordeaux
Pinot noir,Romanée-Saint-Vivant,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Rully premier cru Agneux blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Auxey-Duresses premier cru Les Ecussaux blanc,AOC/AOP,Blanc,Bourgogne
Colombard blanc,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chardonnay blanc,L'Etoile vin de paille,AOC/AOP,Blanc,Jura
Merlot noir,Côtes du Tarn rouge,IGP,Rouge,Sud-ouest
Gamay noir,Mâcon Chardonnay rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Aloxe-Corton premier cru Les Moutottes rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Saône-et-Loire rouge,IGP,Rouge,Bourgogne
Grenache noir,Côtes du Rhône Villages Visan rouge,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Mâcon Pierreclos blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Pays d'Oc rouge mousseux,IGP,Rouge,Languedoc-roussillon
Gamay noir,Mâcon Bussières rosé,AOC/AOP,Rosé,Bourgogne
Cabernet-Franc noir,Graves de Vayres rouge,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Mâcon Cruzille blanc nouveau,AOC/AOP,Blanc,Bourgogne
Grenache noir,Minervois rosé,AOC/AOP,Rosé,Languedoc-roussillon
Chardonnay blanc,Mâcon Mancey blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Aloxe-Corton premier cru Les Vercots rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Chambertin-Clos de Bèze,AOC/AOP,Rouge,Bourgogne
Pinot noir,Rully rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Maranges rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Savennières,AOC/AOP,Blanc,Loire
Chenin blanc,Saumur blanc,AOC/AOP,Blanc,Loire
Pinot noir,Vosne-Romanée premier cru La Croix Rameau,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Côtes du Lot rosé,IGP,Rosé,Sud-ouest
Chardonnay blanc,Puligny-Montrachet premier cru Sous le Puits blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Monthélie premier cru Le Village rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaujolais blanc,AOC/AOP,Blanc,Beaujolais
Merlot noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Pinot noir,Menetou-Salon rosé,AOC/AOP,Rosé,Loire
Gamay noir,Pays d'Oc rouge mousseux,IGP,Rouge,Languedoc-roussillon
Grenache noir,Saint-Chinian rouge,AOC/AOP,Rouge,Languedoc-roussillon
Syrah noir,Languedoc Saint-Drézéry rouge,AOC/AOP,Rouge,Languedoc-roussillon
Grenache noir,Faugères rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Mâcon La Roche-Vineuse blanc nouveau,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Fiefs Vendéens Chantonnay blanc,AOC/AOP,Blanc,Loire
Gamay noir,Vin de Savoie Jongieux rouge,AOC/AOP,Rouge,Savoie bugey
Grenache noir,Côtes de Provence rosé,AOC/AOP,Rosé,Provence-corse
Merlot noir,Saint-Emilion grand cru Premier grand cru classé,AOC/AOP,Rouge,Bordeaux
Cabernet-Sauvignon noir,Bergerac rouge,AOC/AOP,Rouge,Sud-ouest
Sauvignon blanc,Bordeaux Haut-Benauge avec sucres,AOC/AOP,Blanc,Bordeaux
Chardonnay blanc,Santenay premier cru La Maladière blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Pays d'Oc rouge de raisins surmûris,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Les Vallerots blanc,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Coteaux de Peyriac blanc,IGP,Blanc,Languedoc-roussillon
Cabernet-Sauvignon noir,Agenais rouge,IGP,Rouge,Sud-ouest
Syrah noir,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Cabernet-Franc noir,Fiefs Vendéens Brem rouge,AOC/AOP,Rouge,Loire
Chardonnay blanc,Beaujolais Lancié blanc,AOC/AOP,Blanc,Beaujolais
Gamay noir,Saumur mousseux blanc,AOC/AOP,Blanc,Loire
Chardonnay blanc,Nuits-Saint-Georges premier cru Aux Boudots blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Pays d'Oc gris mousseux,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Coteaux champenois rosé,AOC/AOP,Rosé,Champagne
Gamay noir,Beaujolais Denicé rouge nouveau,AOC/AOP,Rouge,Beaujolais
Sémillon blanc,Thézac-Perricard blanc,IGP,Blanc,Sud-ouest
Pinot noir,Saint-Aubin premier cru Echaille rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Mâcon Montbellet blanc nouveau,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Puy-de-Dôme blanc,IGP,Blanc,Loire
Chardonnay blanc,Rully blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Rully premier cru Le Meix Caillet rouge,AOC/AOP,Rouge,Bourgogne
Merlot noir,Périgord rouge,IGP,Rouge,Bordeaux
Syrah noir,Luberon rouge,AOC/AOP,Rouge,Rhône
Pinot noir,Meursault premier cru Les Bouchères rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaujolais Pruzilly blanc,AOC/AOP,Blanc,Beaujolais
Chenin blanc,Montlouis-sur-Loire,AOC/AOP,Blanc,Loire
Cabernet-Sauvignon noir,Haute-Vienne rosé,IGP,Rosé,Loire
Chardonnay blanc,Ladoix premier cru Les Buis blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Coteaux de l'Auxois rosé,IGP,Rosé,Bourgogne
Pinot noir,Beaune premier cru Les Chouacheux rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Bourgueil rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Bugey Montagnieu pétillant,AOC/AOP,Blanc,Savoie bugey
Gamay noir,Mâcon Pierreclos rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Haute Vallée de l'Aude rosé,IGP,Rosé,Languedoc-roussillon
Cabernet-Franc noir,Haut-Médoc,AOC/AOP,Rouge,Bordeaux
Gamay noir,Pays d'Oc rouge nouveau,IGP,Rouge,Languedoc-roussillon
Grenache noir,Cabardès rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Maranges premier cru Clos de la Boutière rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaune premier cru Le Bas des Teurons blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Bourgogne Le Chapitre blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Meursault premier cru Les Ravelles blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Margaux,AOC/AOP,Rouge,Bordeaux
Merlot noir,Montagne-Saint-Emilion,AOC/AOP,Rouge,Bordeaux
Pinot noir,Savigny-lès-Beaune premier cru Aux Serpentières rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Nuits-Saint-Georges premier cru La Richemone blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Fixin premier cru Clos du Chapitre blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Meursault premier cru Les Caillerets blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Vougeot premier cru Les Petits Vougeots blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Les Baux de Provence rosé,AOC/AOP,Rosé,Provence-corse
Chardonnay blanc,Saint-Aubin premier cru blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Maranges premier cru blanc,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Coteaux du Layon Saint-Lambert-du-Lattay Sélection de grains nobles,AOC/AOP,Blanc,Loire
Syrah noir,Saint-Chinian Berlou,AOC/AOP,Rouge,Languedoc-roussillon
Ugni blanc,Beaumes de Venise,AOC,Rouge,Rhône
Pinot noir,Santenay premier cru Passetemps rouge,AOC/AOP,Rouge,Bourgogne
Carignan noir,Coteaux de Peyriac rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Savigny-lès-Beaune premier cru Aux Fourneaux blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Aloxe-Corton premier cru Les Guérets blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mâcon rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Givry premier cru Le Petit Prétan rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Puligny-Montrachet premier cru Hameau de Blagny blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Maranges premier cru La Fussière blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Montrachet,AOC/AOP,Blanc,Bourgogne
Pinot noir,Beaune premier cru Pertuisots rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Périgord rouge,IGP,Rouge,Bordeaux
Gamay noir,Beaujolais Vaux-en-Beaujolais rosé,AOC/AOP,Rosé,Beaujolais
Pinot noir,Savigny-lès-Beaune premier cru Aux Clous rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Pays d'Oc rosé,IGP,Rosé,Languedoc-roussillon
Pinot noir,Chambolle-Musigny premier cru Aux Beaux Bruns,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Ladoix premier cru Les Joyeuses blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Pouilly-Fuissé en montgarcin,AOC/AOP,Blanc,Bourgogne
Gamay noir,Chénas,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Monthélie blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Graves supérieures,AOC/AOP,Blanc,Bordeaux
Chardonnay blanc,Auxey-Duresses premier cru Reugne blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Languedoc Pic-Saint-Loup rosé,AOC/AOP,Rosé,Languedoc-roussillon
Cabernet-Sauvignon noir,Puy-de-Dôme rouge,IGP,Rouge,Loire
Chardonnay blanc,Saint-Aubin premier cru Les Frionnes blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Savigny-lès-Beaune premier cru Bataillère rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Chassagne-Montrachet premier cru Clos Saint-Jean rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Cité de Carcassonne blanc,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Roncière blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chassagne-Montrachet premier cru La Roquemaure rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Viré-Clessé le Chêne,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Savigny-lès-Beaune premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Aloxe-Corton premier cru Les Maréchaudes rouge,AOC/AOP,Rouge,Bourgogne
Grenache noir,Cabardès rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Pommard premier cru Les Fremiers,AOC/AOP,Rouge,Bourgogne
Pinot noir,Vin de Savoie mousseux blanc,AOC/AOP,Blanc,Savoie bugey
Pinot noir,Saint-Aubin premier cru rouge,AOC/AOP,Rouge,Bourgogne
Ugni blanc,Thézac-Perricard blanc,IGP,Blanc,Sud-ouest
Merlot noir,Coteaux de Peyriac rouge,IGP,Rouge,Languedoc-roussillon
Chenin blanc,Chinon blanc,AOC/AOP,Blanc,Loire
Chardonnay blanc,Savigny-lès-Beaune premier cru Petits Godeaux blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaune premier cru blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Vaux-en-Beaujolais rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Puligny-Montrachet premier cru Les Perrières blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Puy-de-Dôme rosé,IGP,Rosé,Loire
Chardonnay blanc,Beaune premier cru Clos des Ursules blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Maranges premier cru Les Clos Roussots blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Sable de Camargue rouge nouveau,IGP,Rouge,Languedoc-roussillon
Pinot noir,Givry premier cru Clos-Saint-Paul rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Côtes de Provence Sainte-Victoire rosé,AOC/AOP,Rosé,Provence-corse
Pinot noir,Chassagne-Montrachet premier cru Les Commes rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Vin de Savoie rouge,AOC/AOP,Rouge,Savoie bugey
Gamay noir,Beaujolais supérieur,AOC/AOP,Rouge,Beaujolais
Merlot noir,Pays d'Oc gris de gris mousseux,IGP,Gris,Languedoc-roussillon
Sémillon blanc,Haute-Vienne blanc,IGP,Blanc,Loire
Chardonnay blanc,Morey-Saint-Denis premier cru Monts Luisants blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Gevrey-Chambertin premier cru Estournelles-Saint-Jacques,AOC/AOP,Rouge,Bourgogne
Sémillon blanc,Bordeaux Haut-Benauge,AOC/AOP,Blanc,Bordeaux
Gamay noir,Beaujolais Saint-Didier-sur-Beaujeu rouge,AOC/AOP,Rouge,Beaujolais
Pinot noir,Beaune premier cru A l'Ecu rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Saint-Aubin premier cru Les Cortons rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Côtes de Bordeaux Blaye blanc,AOC,Blanc,Bordeaux
Cabernet-Sauvignon noir,Thézac-Perricard rosé,IGP,Rosé,Sud-ouest
Pinot noir,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Chardonnay blanc,Ladoix premier cru Le Rognet et Corton blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bourgogne Hautes Côtes de Nuits rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru En Virondot blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Haute Vallée de l'Aude rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Les Chabœufs blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chambolle-Musigny premier cru Les Hauts Doix,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Lantignié rosé nouveau,AOC/AOP,Rosé,Beaujolais
Grenache noir,Banyuls traditionnel hors âge,AOC/AOP,Rancio,Languedoc-roussillon
Chardonnay blanc,Beaujolais Romanèche-Thorins blanc,AOC/AOP,Blanc,Beaujolais
Syrah noir,Minervois rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Fiefs Vendéens Pissotte rouge,AOC/AOP,Rouge,Loire
Sauvignon blanc,Franche-Comté blanc,IGP,Blanc,Jura
Syrah noir,Beaumes de Venise,AOC,Rouge,Rhône
Syrah noir,Gaillac rouge,AOC/AOP,Rouge,Sud-ouest
Sauvignon blanc,Val de Loire blanc,IGP,Blanc,Loire
Cabernet-Franc noir,Côtes de Bordeaux Castillon,AOC,Rouge,Bordeaux
Gamay noir,Beaujolais Romanèche-Thorins rouge nouveau,AOC/AOP,Rouge,Beaujolais
Merlot noir,Calvados rosé,IGP,Rosé,Loire
Carignan noir,Sable de Camargue rosé nouveau,IGP,Rosé,Languedoc-roussillon
Grenache noir,Grand Roussillon blanc,AOC/AOP,Blanc,Languedoc-roussillon
Syrah noir,Pays d'Oc gris,IGP,Gris,Languedoc-roussillon
Cabernet-Sauvignon noir,Moulis,AOC/AOP,Rouge,Bordeaux
Gamay noir,Mâcon Bussières rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Mercurey premier cru Les Velley blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Coteaux varois en Provence rouge,AOC/AOP,Rouge,Provence-corse
Chardonnay blanc,Montagny premier cru Les Perrières,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Urfé blanc,IGP,Blanc,Loire
Chenin blanc,Coteaux de Glanes blanc,IGP,Blanc,Sud-ouest
Pinot noir,Chambolle-Musigny premier cru Les Baudes,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Tursan rosé,AOC/AOP,Rosé,Sud-ouest
Grenache noir,Languedoc nouveau rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Mâcon Péronne blanc nouveau,AOC/AOP,Blanc,Bourgogne
Pinot noir,Volnay premier cru Clos des Ducs,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Agenais Blanc Surmûri,IGP,Blanc,Sud-ouest
Chardonnay blanc,Chassagne-Montrachet premier cru La Roquemaure blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chablis premier cru Côte de Léchet,AOC/AOP,Blanc,Bourgogne
Grenache noir,Rasteau ambré,AOC/AOP,Ambré,Rhône
Chardonnay blanc,Pouilly-Fuissé les vignes blanches,AOC/AOP,Blanc,Bourgogne
Pinot noir,Maranges premier cru La Fussière rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Fiefs Vendéens Vix rouge,AOC/AOP,Rouge,Loire
Pinot noir,Givry premier cru Champ Nalot rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Mercurey premier cru Les Byots rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chablis premier cru Les Epinottes,AOC/AOP,Blanc,Bourgogne
Grenache noir,Rasteau rouge sec,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Mâcon Chaintré blanc nouveau,AOC/AOP,Blanc,Bourgogne
Pinot noir,Beaune premier cru Clos du Roi rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Pommard premier cru Les Jarolières,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Auxey-Duresses premier cru La Chapelle blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mâcon Lugny blanc nouveau,AOC/AOP,Blanc,Bourgogne
Grenache noir,Pierrevert rouge,AOC/AOP,Rouge,Provence-corse
Cabernet-Sauvignon noir,Bergerac rosé,AOC/AOP,Rosé,Sud-ouest
Cabernet-Sauvignon noir,Côtes de Bordeaux Castillon,AOC,Rouge,Bordeaux
Chardonnay blanc,Maranges premier cru Le Clos des Loyères blanc,AOC/AOP,Blanc,Bourgogne
Colombard blanc,Périgord blanc,IGP,Blanc,Bordeaux
Gamay noir,Beaujolais Pruzilly rosé,AOC/AOP,Rosé,Beaujolais
Sémillon blanc,Buzet blanc,AOC/AOP,Blanc,Sud-ouest
Grenache noir,Languedoc Pic-Saint-Loup rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Bourgogne Côte Saint-Jacques rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Franche-Comté blanc,IGP,Blanc,Jura
Pinot noir,Santenay premier cru Clos de Tavannes rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Saint-Emilion grand cru Grand cru classé,AOC/AOP,Rouge,Bordeaux
Gamay noir,Beaujolais Beaujeu rouge,AOC/AOP,Rouge,Beaujolais
Cabernet-Franc noir,Haute-Vienne rosé,IGP,Rosé,Loire
Gamay noir,Beaujolais rosé  nouveau,AOC/AOP,Rosé,Beaujolais
Sauvignon blanc,Rosette,AOC/AOP,Blanc,Sud-ouest
Chardonnay blanc,Mercurey premier cru Le Clos du Roy blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Saumur mousseux rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Mâcon Milly-Lamartine blanc nouveau,AOC/AOP,Blanc,Bourgogne
Grenache noir,Languedoc nouveau rosé,AOC/AOP,Rosé,Languedoc-roussillon
Gamay noir,Mâcon Lugny rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Ladoix premier cru blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Bergerac blanc,AOC/AOP,Blanc,Sud-ouest
Pinot noir,Nuits-Saint-Georges premier cru Les Pruliers rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Vigne Derrière blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Grand Roussillon rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Santenay premier cru Beauregard rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Touraine rosé,AOC/AOP,Rosé,Loire
Gamay noir,Coteaux de l'Auxois blanc,IGP,Blanc,Bourgogne
Chenin blanc,Val de Loire blanc,IGP,Blanc,Loire
Grenache noir,Sable de Camargue rouge nouveau,IGP,Rouge,Languedoc-roussillon
Cabernet-Sauvignon noir,Côtes du Lot rosé,IGP,Rosé,Sud-ouest
Sauvignon blanc,Côtes du Lot blanc,IGP,Blanc,Sud-ouest
Pinot noir,Maranges premier cru Clos de la Fussière rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Viré-Clessé quintaine,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Montagny premier cru Les Bonneveaux,AOC/AOP,Blanc,Bourgogne
Pinot noir,Coteaux de l'Auxois rosé,IGP,Rosé,Bourgogne
Gamay noir,Beaujolais Blacé rouge nouveau,AOC/AOP,Rouge,Beaujolais
Merlot noir,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Pinot noir,Meursault premier cru Les Gouttes d'Or rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Côtes de Bordeaux,AOC,Rouge,Bordeaux
Gamay noir,Beaujolais Rivolet rosé nouveau,AOC/AOP,Rosé,Beaujolais
Pinot noir,Pernand-Vergelesses premier cru Ile des Vergelesses rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Saint-Aubin premier cru Vignes Moingeon blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Montagny premier cru Les Resses,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Rully premier cru Le Meix Cadot blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Comté Tolosan rosé,IGP,Rosé,Armagnac
Chardonnay blanc,Beaune premier cru Sur les Grèves blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mercurey premier cru Clos Voyens blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Rully premier cru rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Les Baudines blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Languedoc La Clape rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Clos des Argillières blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Ugni blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Gamay noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Montagny premier cru Les Chaumelottes,AOC/AOP,Blanc,Bourgogne
Gamay noir,Fiefs Vendéens Mareuil rosé,AOC/AOP,Rosé,Loire
Pinot noir,Blagny premier cru Sous Blagny,AOC/AOP,Rouge,Bourgogne
Grenache noir,Languedoc Saint-Christol rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Moselle rouge,AOC/AOP,Rouge,Lorraine
Pinot noir,Givry premier cru Crémillons rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Bourgogne Chitry rosé,AOC/AOP,Rosé,Bourgogne
Syrah noir,Saône-et-Loire rosé,IGP,Rosé,Bourgogne
Cabernet-Franc noir,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Merlot noir,Côtes de Bergerac rouge,AOC/AOP,Rouge,Sud-ouest
Chardonnay blanc,Pouilly-Vinzelles les pétaux,AOC/AOP,Blanc,Bourgogne
Grenache noir,Côtes de Provence Sainte-Victoire rouge,AOC/AOP,Rouge,Provence-corse
Gamay noir,Châteaumeillant gris,AOC/AOP,Rosé,Loire
Chardonnay blanc,Fixin blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Mâcon Davayé rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Les Procès rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Cabernet d'Anjou nouveau,AOC/AOP,Rosé,Loire
Gamay noir,Beaujolais Jullié rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Pouilly-Fuissé les perrières,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaujolais Jullié blanc,AOC/AOP,Blanc,Beaujolais
Grenache noir,Les Baux de Provence rouge,AOC/AOP,Rouge,Provence-corse
Grenache noir,Sable de Camargue rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Rully premier cru Grésigny blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mercurey premier cru Clos Marcilly rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Givry premier cru Clos Jus blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Crémant du Jura rosé,AOC/AOP,Rosé,Jura
Pinot noir,Haut-Poitou rosé,AOC/AOP,Rosé,Loire
Pinot noir,Meursault premier cru Sous le Dos d'Ane rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Pessac-Léognan rouge,AOC/AOP,Rouge,Bordeaux
Syrah noir,Gaillac rosé,AOC/AOP,Rosé,Sud-ouest
Gamay noir,Crémant de Bourgogne rosé,AOC/AOP,Rosé,Bourgogne
Grenache noir,Vin de Corse Figari rouge,AOC/AOP,Rouge,Provence-corse
Gamay noir,Beaujolais Saint-Didier-sur-Beaujeu rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Auxey-Duresses premier cru Bas des Duresses blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mercurey premier cru Sazenay rouge,AOC/AOP,Rouge,Bourgogne
Grenache noir,Pays d'Oc rosé mousseux,IGP,Rosé,Languedoc-roussillon
Syrah noir,Comté Tolosan rosé,IGP,Rosé,Armagnac
Gamay noir,Coteaux de Tannay rosé,IGP,Rosé,Bourgogne
Gamay noir,Vin de Savoie Chignin rouge,AOC/AOP,Rouge,Savoie bugey
Chardonnay blanc,Bâtard-Montrachet,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chambolle-Musigny premier cru La Combe d'Orveau,AOC/AOP,Rouge,Bourgogne
Grenache noir,Pays d'Oc gris de gris mousseux,IGP,Gris,Languedoc-roussillon
Merlot noir,Franche-Comté rosé,IGP,Rosé,Jura
Pinot noir,Santenay premier cru La Maladière rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Morey-Saint-Denis premier cru Aux Cheseaux rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Jullié rosé nouveau,AOC/AOP,Rosé,Beaujolais
Gamay noir,Mâcon Cruzille rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Languedoc Montpeyroux rouge,AOC/AOP,Rouge,Languedoc-roussillon
