Interet,Email,Sexe,Age,Acti.,Famil.,CodeP.,AmourVin,Orga.,Particip.,Atti_Choix,Atti_Date,Atti_Paie.,Atti_Guide,Atti_VR,Atti_Jeux,Atti_Profil,Atti_Photo,Atti_Support,Util_Choix,Util_Date,Util_Paie.,Util_Guide,Util_VR,Util_Jeux,Util_Profil,Util_Photo,Util_Support,Ob_Choix,Ob_Prix,Ob_Rebours.,Ob_Inconnu,Ob_TropFormel,Ob_Plaise,Ob_QuantiVin,Ob_Diversi.,Ob_Mener,Ob_Orga.,Ob_Materiel,At_BonMoment,At_MoinsCher,At_QualiVin,At_DiversiVin,At_MoinsFormel,At_ToutPublic,At_Decouvrir,At_ApprendreChoisir,At_MetVin,At_LibreDeroul.,At_Storytelling
3,0,2,21,2,1,31470,2,0,0,3,3,4,4,5,4,5,2,3,3,3,4,4,4,4,5,2,2,2,4,3,2,4,4,3,4,2,2,4,4,4,3,3,3,5,4,3,2,2,3
3,2,2,29,3,4,92140,3,0,0,5,5,5,2,1,3,4,1,1,5,5,5,3,3,3,4,,3,2,3,4,2,4,2,2,2,4,3,2,2,3,4,4,3,2,4,2,4,2,5
3,0,1,21,2,3,34150,2,0,0,3,4,3,3,2,3,3,1,1,3,4,4,4,2,1,3,1,4,4,2,3,3,3,4,4,5,5,3,4,5,3,5,4,5,5,5,5,5,5,4
4,2,1,21,2,3,31520,2,0,0,4,3,3,4,4,4,4,1,2,3,3,3,4,3,3,4,2,2,2,3,3,2,4,4,3,3,4,3,3,4,2,3,4,4,2,3,4,4,4,4
4,0,2,35,3,2,31140,2,0,0,5,5,5,5,3,4,5,3,4,5,5,5,5,3,3,5,2,5,3,4,4,2,4,2,4,5,3,4,4,4,4,5,4,5,5,5,5,4,4,3
4,0,1,24,2,1,31000,2,0,0,4,4,4,5,2,4,4,2,2,4,4,4,4,2,4,4,1,3,2,4,4,1,4,4,4,4,3,2,5,5,4,3,3,4,4,5,5,3,4,4
4,2,2,25,3,1,80000,3,1,1,4,4,4,3,3,3,4,1,3,4,4,4,3,2,2,4,1,3,3,3,3,3,3,3,1,1,1,1,1,5,2,4,3,3,4,3,4,2,3,3
4,0,1,27,3,3,13000,2,0,0,5,5,5,5,4,5,4,3,3,5,5,5,5,4,5,4,3,4,2,2,1,1,1,1,4,5,4,2,3,4,2,4,5,1,5,4,4,1,1,3
3,2,1,48,3,4,34550,2,0,0,4,3,3,5,3,4,5,3,3,5,3,3,5,4,4,4,4,5,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,0,2,30,3,3,31470,3,0,0,4,4,3,4,2,2,4,3,2,4,4,4,4,2,2,4,2,4,4,3,3,2,4,4,4,4,2,4,3,4,3,4,4,4,4,5,5,3,3,2
3,0,1,23,2,1,9000,3,1,0,5,4,4,3,3,4,3,2,2,5,5,5,3,1,4,3,1,5,4,2,2,5,2,2,2,2,2,1,4,5,2,3,3,5,4,3,3,4,5,4
5,0,1,48,3,1,31470,3,1,1,4,5,4,5,4,4,5,5,5,3,5,5,5,3,3,5,4,5,1,2,1,1,2,3,2,3,3,1,1,5,2,5,4,3,4,5,4,4,3,5
5,0,1,23,2,3,34690,3,0,0,4,4,3,4,2,2,2,1,4,4,4,4,4,2,2,3,1,4,3,1,1,1,1,1,1,1,1,,1,4,1,5,5,3,4,5,3,5,2,2
4,2,2,24,3,3,31270,2,0,0,4,3,2,4,5,4,4,2,2,4,4,3,4,4,3,4,2,1,1,3,3,2,5,3,3,1,3,1,4,5,1,5,3,2,1,5,5,3,1,5
3,0,2,26,3,3,81000,3,0,0,2,5,5,4,2,4,4,2,4,2,1,5,3,2,3,3,2,3,4,4,4,1,1,1,3,3,3,3,3,5,4,3,4,4,4,4,3,3,4,3
3,0,1,29,3,1,31400,3,0,0,2,3,4,3,1,3,3,1,1,3,4,4,3,1,3,2,1,1,1,3,4,2,3,2,4,4,4,3,1,2,2,3,3,3,4,3,1,2,2,2
3,0,1,25,2,1,31400,2,0,0,5,5,5,4,3,4,5,3,4,5,5,5,5,3,3,5,3,4,5,5,3,4,1,5,5,4,1,4,5,5,3,5,4,4,5,5,5,4,4,5
2,0,2,33,3,3,31200,2,0,0,3,4,3,4,3,3,3,2,3,4,4,3,4,2,3,4,2,3,3,4,4,4,4,4,4,5,5,4,3,5,4,5,4,4,4,4,4,5,3,4
5,2,1,32,3,3,82000,3,0,0,4,3,4,5,2,4,5,2,1,5,3,3,5,1,4,4,1,1,1,2,1,2,2,2,4,2,3,1,1,4,3,4,2,2,2,4,5,3,1,3
4,1,1,39,3,4,32130,2,0,0,4,5,4,4,4,3,5,5,5,4,4,4,4,5,3,4,3,5,1,3,5,5,2,3,1,3,3,3,5,5,3,4,3,4,4,4,4,4,5,3
3,0,1,39,3,4,31500,2,0,0,3,2,2,3,1,3,2,3,2,2,3,3,2,2,3,3,3,2,1,2,2,3,2,2,1,1,3,2,1,5,3,3,3,2,3,4,4,3,3,4
4,0,2,32,3,3,31200,2,0,0,4,5,3,5,4,4,5,3,5,4,4,3,5,3,3,5,1,4,3,3,2,1,1,3,1,3,4,2,4,5,3,4,5,3,5,5,5,4,4,4
3,0,2,48,3,1,31500,3,0,0,4,4,5,3,3,1,5,1,5,5,5,5,3,2,1,5,1,5,3,5,4,1,3,4,3,3,5,4,3,5,5,5,4,5,5,5,5,4,5,5
,0,2,21,2,1,31000,3,0,0,1,1,2,4,4,1,4,4,2,,,,,,,,,,3,4,3,1,3,5,5,4,3,3,5,5,3,4,3,3,5,4,4,4,4,5
4,2,1,30,,1,32270,3,0,0,3,3,3,5,1,1,1,1,1,2,5,5,5,1,1,2,1,1,3,5,5,5,5,3,3,5,3,3,5,1,2,3,3,4,4,5,3,4,3,4
4,0,1,25,3,3,31170,3,0,1,3,3,4,3,4,2,4,2,4,2,3,4,3,3,1,4,2,3,3,2,1,1,3,1,1,1,3,3,2,3,3,5,3,4,4,5,4,1,5,4
